x,y,z
-1.287074559317682620e+01,-1.908408230060358335e+01,5.399385557793151236e+01
-1.301491373424305209e+01,-1.884777303300040074e+01,5.419342937189799159e+01
-1.314986753215107029e+01,-1.860341449551346216e+01,5.439057367687661326e+01
-1.327566165560497957e+01,-1.835116598987851688e+01,5.458451519999793788e+01
-1.339235560634888422e+01,-1.809123731381613709e+01,5.477449226620942113e+01
-1.350001371916692072e+01,-1.782388876103163255e+01,5.495975481827546361e+01
-1.359870516188323286e+01,-1.754943112121514304e+01,5.513956441677737530e+01
-1.368850393536199661e+01,-1.726822568004155656e+01,5.531319424011338981e+01
-1.376948887350739348e+01,-1.698068421917057336e+01,5.547992908449865013e+01
-1.384174364326363360e+01,-1.668726901624664194e+01,5.563906536396523705e+01
-1.390535674461493976e+01,-1.638849284489904079e+01,5.578991111036213368e+01
-1.396042151058556158e+01,-1.608491897474178245e+01,5.593178597335524671e+01
-1.400703610723975956e+01,-1.577716117137370766e+01,5.606402122042741354e+01
-1.404530241863510653e+01,-1.546582763605717403e+01,5.618599806317153877e+01
-1.407531004304192201e+01,-1.515077785401328292e+01,5.629770240504746681e+01
-1.409716141970040049e+01,-1.483235264977282064e+01,5.639893238026020583e+01
-1.411097203741719497e+01,-1.451114233387215080e+01,5.648935782551875207e+01
-1.411686578954054738e+01,-1.418772696219604867e+01,5.656868443458652962e+01
-1.411497497396028855e+01,-1.386267633597764437e+01,5.663665375828140469e+01
-1.410544029310783820e+01,-1.353655000179850809e+01,5.669304320447570689e+01
-1.408841085395620141e+01,-1.320989725158859329e+01,5.673766603809620079e+01
-1.406404416801997925e+01,-1.288325712262626688e+01,5.677037138112410020e+01
-1.403250615135535462e+01,-1.255715839753824525e+01,5.679104421259506807e+01
-1.399397112456010284e+01,-1.223211960429968848e+01,5.679960536859920950e+01
-1.394862181277358815e+01,-1.190864901623413985e+01,5.679601154228108584e+01
-1.389664934567676724e+01,-1.158724465201355258e+01,5.678025528383969345e+01
-1.383825325749217505e+01,-1.126839427565823826e+01,5.675236500052848498e+01
-1.377364148698394608e+01,-1.095257539653694145e+01,5.671240495665535519e+01
-1.370303037745779662e+01,-1.064025526936679533e+01,5.666047527358264801e+01
-1.362664467676103897e+01,-1.033189089421333051e+01,5.659671192972714948e+01
-1.354471753728257077e+01,-1.002792901649048574e+01,5.652128676056010192e+01
-1.345749051595287327e+01,-9.728806126960556355e+00,5.643440745860718266e+01
-1.336521357424402368e+01,-9.434948461734279590e+00,5.633631757344852531e+01
-1.326814507816968813e+01,-9.146772002270772361e+00,5.622729651171871268e+01
-1.316655179828512168e+01,-8.864682475377563264e+00,5.610765953710676257e+01
-1.306070890968715581e+01,-8.589075353210535724e+00,5.597775777035614198e+01
-1.295089999201423048e+01,-8.320335853274020366e+00,5.583797818926477419e+01
-1.283741702944636032e+01,-8.058838938420720410e+00,5.568874362868503169e+01
-1.272056041070516486e+01,-7.804949316851748975e+00,5.553051278052371487e+01
-1.260063892905382410e+01,-7.559021442116591771e+00,5.536378019374208748e+01
-1.247796978229713361e+01,-7.321399513113155066e+00,5.518907627435584828e+01
-1.235286373758218659e+01,-7.092373213763201178e+00,5.500694797431827254e+01
-1.222543077742857953e+01,-6.871605059565190743e+00,5.481765107658723224e+01
-1.209587346980714351e+01,-6.659031001718679121e+00,5.462146026393958209e+01
-1.196444680914083314e+01,-6.454746271159135240e+00,5.441871117352288678e+01
-1.183139930288007946e+01,-6.258829178558187323e+00,5.420973720368258597e+01
-1.169697297150281301e+01,-6.071341114323637100e+00,5.399486951396194456e+01
-1.156140334851442830e+01,-5.892326548599425173e+00,5.377443702510208823e+01
-1.142491948044782468e+01,-5.721813031265689631e+00,5.354876641904200341e+01
-1.128774392686338501e+01,-5.559811191938722530e+00,5.331818213891851599e+01
-1.115009276034898988e+01,-5.406314739970990324e+00,5.308300638906634106e+01
-1.101217556651997853e+01,-5.261300464451108105e+00,5.284355913501799762e+01
-1.087419544401920746e+01,-5.124728234203875132e+00,5.260015810350388676e+01
-1.073634900451700247e+01,-4.996540997790251737e+00,5.235311878245227035e+01
-1.059882637271119421e+01,-4.876664783507369982e+00,5.210275442098925680e+01
-1.046181118632707552e+01,-4.765008699388515012e+00,5.184937602943878687e+01
-1.032548059611744407e+01,-4.661464933203149918e+00,5.159329237932268342e+01
-1.019000526586258459e+01,-4.565908752456904196e+00,5.133481000336060873e+01
-1.005554937237026891e+01,-4.478198504391573742e+00,5.107423319547010720e+01
-9.922270605475741689e+00,-4.398175615985113751e+00,5.081186401076652004e+01
-9.790320168041752424e+00,-4.325664593951654702e+00,5.054800226556309184e+01
-9.659842775958530581e+00,-4.260473024741489922e+00,5.028294553737090666e+01
-9.530976658143796243e+00,-4.202391574541081809e+00,5.001698916489889513e+01
-9.403853556542756564e+00,-4.151193989273060048e+00,4.975042624805385572e+01
-9.278598726128096885e+00,-4.106637094596213622e+00,4.948354764794042637e+01
-9.155330934899998496e+00,-4.068460795905506799e+00,4.921664198686109870e+01
-9.034162463886131533e+00,-4.036388078332065810e+00,4.894999564831623218e+01
-8.915199107141653201e+00,-4.010125006743187726e+00,4.868389277700403994e+01
-8.798540171749195338e+00,-3.989360725742331137e+00,4.841861527882056748e+01
-8.684277486478585217e+00,-3.973852838019231726e+00,4.815434224867144053e+01
-8.572480536480176383e+00,-3.963802912492099040e+00,4.789073596494026930e+01
-8.463202112157118151e+00,-3.959119074091815627e+00,4.762783657364191470e+01
-8.356492211245777568e+00,-3.959648006677189525e+00,4.736575954380845133e+01
-8.252398406632798000e+00,-3.965240053756638350e+00,4.710461660784353199e+01
-8.150965846355083144e+00,-3.975749218488189296e+00,4.684451576152230956e+01
